No,投稿日,タイトル,企画カテゴリ,秒数,再生回数,リーチ数,いいね,コメント,シェア,保存数,エンゲージ数,エンゲージ率%,保存率%,コメント率%,平均視聴秒,フル視聴率%,プロフィール閲覧数,フォロワー増加数,おすすめ%,検索%,男性%,女性%,動画ID,動画URL
129,2023-10-26,利久王道ランキング,ランキング・比較,39.851,2934,2189.0,87,13,4,4,108,3.68,0.136,0.443,8.93,8.78,0.0,4.0,40.7,20.4,63.0,34.0,7293439295208049927,https://www.tiktok.com/@rikyu.official/video/7293439295208049927
130,2023-10-24,最後の表情に注目,定番・日常訴求,36.416,11635,10004.0,194,0,1,14,209,1.8,0.12,0.0,18.06,23.95,0.0,20.0,81.7,7.4,78.0,15.0,7293438736040283410,https://www.tiktok.com/@rikyu.official/video/7293438736040283410
131,2023-10-18,これだけ貴重だった,定番・日常訴求,37.249,3472,2648.0,68,2,1,6,77,2.22,0.173,0.058,13.38,19.67,0.0,1.0,48.2,12.3,74.0,23.0,7291206955010493704,https://www.tiktok.com/@rikyu.official/video/7291206955010493704
132,2023-10-16,女性スタッフがやらかし(検証),製造・職人・舞台裏,38.209,12411,10046.0,102,4,4,6,116,0.93,0.048,0.032,17.54,21.95,0.0,6.0,83.9,3.9,67.0,32.0,7290479116187421970,https://www.tiktok.com/@rikyu.official/video/7290479116187421970
133,2023-10-14,牛たんのこだわりはココ,製造・職人・舞台裏,54.614,19787,17443.0,166,5,3,13,187,0.95,0.066,0.025,18.7,19.36,0.0,21.0,88.1,3.6,85.0,14.0,7287823595160587538,https://www.tiktok.com/@rikyu.official/video/7287823595160587538
134,2023-10-11,勝者は…？,定番・日常訴求,25.942,2182,1421.0,31,2,3,2,38,1.74,0.092,0.092,8.52,18.19,0.0,1.0,23.1,12.3,69.0,29.0,7288559576469753095,https://www.tiktok.com/@rikyu.official/video/7288559576469753095
135,2023-10-09,アレが食べられなくて辛い(工場),製造・職人・舞台裏,27.371,7897,6257.0,58,0,3,9,70,0.89,0.114,0.0,6.83,8.66,0.0,1.0,51.5,30.5,64.0,34.0,7287823312019885320,https://www.tiktok.com/@rikyu.official/video/7287823312019885320
136,2023-10-04,実は課長って…,製造・職人・舞台裏,62.785,32809,29635.0,407,11,6,33,457,1.39,0.101,0.034,27.33,25.5,0.0,23.0,91.9,2.8,88.0,10.0,7285922558371761416,https://www.tiktok.com/@rikyu.official/video/7285922558371761416
137,2023-09-30,熟成肉が美味しい理由(裏側),製造・職人・舞台裏,43.649,2419,1694.0,40,0,1,3,44,1.82,0.124,0.0,8.77,6.44,0.0,1.0,19.7,26.3,68.0,29.0,7283414158366772482,https://www.tiktok.com/@rikyu.official/video/7283414158366772482
138,2023-09-27,自宅で焼くとき保存必須(大ヒット),定番・日常訴求,90.006,128175,93803.0,1134,28,85,356,1603,1.25,0.278,0.022,22.54,7.82,0.0,57.0,6.2,92.0,48.0,50.0,7283413399659187457,https://www.tiktok.com/@rikyu.official/video/7283413399659187457
139,2023-09-25,うちの子可愛くない,定番・日常訴求,19.905,2218,1559.0,50,1,2,4,57,2.57,0.18,0.045,5.65,11.37,0.0,0.0,21.3,18.7,66.0,31.0,7281921940640500993,https://www.tiktok.com/@rikyu.official/video/7281921940640500993
140,2023-09-23,一目瞭然な違い(プロと素人),二択・クイズ・検証,22.209,12270,11022.0,115,3,5,19,142,1.16,0.155,0.024,10.89,20.94,0.0,6.0,40.9,43.5,45.0,32.0,7281921332311231745,https://www.tiktok.com/@rikyu.official/video/7281921332311231745
141,2023-09-20,炭を消すときどうしてる,定番・日常訴求,35.776,29361,26794.0,162,6,6,11,185,0.63,0.037,0.02,12.58,13.8,0.0,11.0,33.0,61.1,73.0,26.0,7280780017598991617,https://www.tiktok.com/@rikyu.official/video/7280780017598991617
142,2023-09-18,どちらが宮城県産,二択・クイズ・検証,79.254,65804,60942.0,488,20,8,30,546,0.83,0.046,0.03,28.02,19.35,0.0,97.0,95.0,1.7,86.0,11.0,7280050197072268545,https://www.tiktok.com/@rikyu.official/video/7280050197072268545
143,2023-09-16,利久のなぁぜなぁぜ,二択・クイズ・検証,30.166,11341,8240.0,161,4,18,16,199,1.75,0.141,0.035,7.98,10.44,0.0,16.0,9.0,69.8,47.0,51.0,7279331390502489346,https://www.tiktok.com/@rikyu.official/video/7279331390502489346
144,2023-09-14,ながの社長始球式コラボ,コラボ・イベントPR,61.803,51569,45465.0,953,14,15,67,1049,2.03,0.13,0.027,20.87,18.82,0.0,114.0,91.2,4.3,69.0,23.0,7278481134969687304,https://www.tiktok.com/@rikyu.official/video/7278481134969687304
145,2023-03-06,プロフェッショナルとは,製造・職人・舞台裏,64.278,6527,3291.0,42,4,10,4,60,0.92,0.061,0.061,7.54,3.37,0.0,7.0,10.2,49.3,52.0,46.0,7207416339307220225,https://www.tiktok.com/@rikyu.official/video/7207416339307220225
146,2023-03-04,利久の名前の誕生秘話は次回,製造・職人・舞台裏,17.387,7101,2983.0,57,2,7,6,72,1.01,0.084,0.028,6.04,9.87,0.0,20.0,21.6,41.4,54.0,44.0,7206596835916451073,https://www.tiktok.com/@rikyu.official/video/7206596835916451073
147,2023-03-03,「久」なのでお願い,定番・日常訴求,25.171,4980,2067.0,49,0,3,5,57,1.14,0.1,0.0,7.52,11.7,0.0,5.0,28.0,27.3,58.0,40.0,7206241167174847745,https://www.tiktok.com/@rikyu.official/video/7206241167174847745
148,2023-02-28,天ぷらもやってます,サイドメニュー訴求,113.987,15365,10042.0,439,9,10,9,467,3.04,0.059,0.059,10.18,2.44,0.0,198.0,76.6,10.3,64.0,35.0,7205165093753982209,https://www.tiktok.com/@rikyu.official/video/7205165093753982209
149,2023-01-19,牛タン嫌いな人はいない(タイムアタック),参加・チャレンジ企画,40.612,44786,8495.0,397,10,6,12,425,0.95,0.027,0.022,15.61,22.13,0.0,215.0,89.7,4.9,69.0,31.0,7190296307209178369,https://www.tiktok.com/@rikyu.official/video/7190296307209178369
150,2022-12-31,まかない見せちゃいます,定番・日常訴求,26.1,54734,,1015,7,18,16,1056,1.93,0.029,0.013,,,,,,,,,7182876097695010050,https://www.tiktok.com/@rikyu.official/video/7182876097695010050
151,2022-12-29,一グラムもミスしません,定番・日常訴求,39.846,98541,,2490,46,28,57,2621,2.66,0.058,0.047,,,,,,,,,7182496713251278081,https://www.tiktok.com/@rikyu.official/video/7182496713251278081
152,2022-12-17,秘密の味付け室,製造・職人・舞台裏,40.31,95174,,3105,23,23,94,3245,3.41,0.099,0.024,,,,,,,,,7178065784181099777,https://www.tiktok.com/@rikyu.official/video/7178065784181099777
153,2022-12-15,熟練の技(工場見学),製造・職人・舞台裏,41.843,23468,,263,5,16,8,292,1.24,0.034,0.021,,,,,,,,,7177308743539887361,https://www.tiktok.com/@rikyu.official/video/7177308743539887361
154,2022-12-11,牛タンだけではない(歴史),製造・職人・舞台裏,27.214,7895,,63,1,8,9,81,1.03,0.114,0.013,,,,,,,,,7175810356131007746,https://www.tiktok.com/@rikyu.official/video/7175810356131007746
155,2022-12-10,爽快感(皮むき),製造・職人・舞台裏,39.752,54733,,312,18,39,19,388,0.71,0.035,0.033,,,,,,,,,7175477993870003458,https://www.tiktok.com/@rikyu.official/video/7175477993870003458
156,2022-12-09,工場初公開,製造・職人・舞台裏,29.351,11040,,94,4,6,11,115,1.04,0.1,0.036,,,,,,,,,7175070097554345218,https://www.tiktok.com/@rikyu.official/video/7175070097554345218
157,2022-12-08,やっぱりテールスープ,サイドメニュー訴求,26.534,12918,,64,5,16,5,90,0.7,0.039,0.039,,,,,,,,,7174735792969944321,https://www.tiktok.com/@rikyu.official/video/7174735792969944321
158,2022-12-06,一度試してみては(職人),製造・職人・舞台裏,25.148,8351,,76,0,7,5,88,1.05,0.06,0.0,,,,,,,,,7173960481751846146,https://www.tiktok.com/@rikyu.official/video/7173960481751846146
159,2022-12-05,食材へのこだわり,製造・職人・舞台裏,49.111,8172,,70,4,7,7,88,1.08,0.086,0.049,,,,,,,,,7173599633657138433,https://www.tiktok.com/@rikyu.official/video/7173599633657138433
160,2022-12-02,厚切り秘話,製造・職人・舞台裏,49.505,5868,,57,4,4,4,69,1.18,0.068,0.068,,,,,,,,,7172470556556528897,https://www.tiktok.com/@rikyu.official/video/7172470556556528897
161,2022-12-01,苦難(コロナ),製造・職人・舞台裏,110.272,11554,,79,9,5,10,103,0.89,0.087,0.078,,,,,,,,,7172089689514511618,https://www.tiktok.com/@rikyu.official/video/7172089689514511618
162,2022-11-29,工場初公開(2),製造・職人・舞台裏,26.936,23106,,166,1,13,19,199,0.86,0.082,0.004,,,,,,,,,7171355767230991617,https://www.tiktok.com/@rikyu.official/video/7171355767230991617
163,2022-11-28,紆余曲折を経ました,製造・職人・舞台裏,63.112,55591,,517,67,47,36,667,1.2,0.065,0.121,,,,,,,,,7171028748504993026,https://www.tiktok.com/@rikyu.official/video/7171028748504993026
164,2022-11-27,自慢の牛タンを食べてみて,定番・日常訴求,25.148,11441,,119,9,11,7,146,1.28,0.061,0.079,,,,,,,,,7170595044460612866,https://www.tiktok.com/@rikyu.official/video/7170595044460612866
165,2022-11-26,tiktok初出し映像(工場見学),製造・職人・舞台裏,38.708,77174,,2035,11,20,32,2098,2.72,0.041,0.014,,,,,,,,,7170259943436684546,https://www.tiktok.com/@rikyu.official/video/7170259943436684546
